YYMMMDD __east(m) _north(m) ____up(m)
12OCT16 0.356322 0.555851 0.220737
12OCT17 0.355528 0.554843 0.218146
12OCT18 0.354766 0.557522 0.220112
12OCT19 0.353132 0.554813 0.218694
12OCT20 0.354151 0.557373 0.217857
12OCT21 0.354314 0.558122 0.213806
12OCT22 0.355321 0.556379 0.229908
12OCT23 0.323588 0.558351 0.186514
12OCT24 0.317037 0.567184 0.195486
12OCT25 0.365413 0.550769 0.211637
12OCT26 0.353319 0.555975 0.218379
12OCT27 0.351325 0.557747 0.202659
12OCT28 0.344931 0.561109 0.171001
12OCT29 0.342505 0.556549 0.185807
12OCT30 0.332866 0.562190 0.175681
12OCT31 0.345413 0.561067 0.179485
12NOV01 0.333516 0.557949 0.174272
12NOV02 0.338630 0.559762 0.191382
12NOV03 0.324451 0.556634 0.143769
12NOV04 0.329774 0.560218 0.180977
12NOV05 0.329676 0.559210 0.197001
12NOV06 0.351223 0.554950 0.203617
12NOV07 0.355108 0.558113 0.215960
12NOV08 0.352951 0.556798 0.215147
12NOV09 0.353013 0.558844 0.216633
12NOV10 0.355103 0.556795 0.213402
12NOV11 0.353001 0.556780 0.217533
12NOV12 0.356480 0.560891 0.216085
12NOV13 0.355885 0.560255 0.220179
12NOV14 0.349682 0.559925 0.211373
12NOV15 0.351709 0.558913 0.220409
12NOV16 0.353042 0.558931 0.160423
12NOV17 0.354368 0.560451 0.215787
12NOV18 0.355639 0.562737 0.224561
12NOV19 0.356704 0.559724 0.212145
12NOV20 0.354885 0.559040 0.216473
12NOV21 0.355126 0.558078 0.227366
12NOV22 0.355984 0.559723 0.224621
12NOV23 0.354546 0.559035 0.216108
12NOV24 0.351880 0.558486 0.209973
12NOV25 0.335647 0.563500 0.205762
12NOV26 0.352074 0.558455 0.210400
12NOV27 0.358369 0.557856 0.242294
12NOV28 0.356004 0.558964 0.225081
12NOV29 0.356588 0.557316 0.224666
12NOV30 0.355117 0.559104 0.224126
12DEC01 0.352733 0.557265 0.218060
12DEC02 0.356842 0.556959 0.222075
12DEC03 0.355174 0.558914 0.222808
12DEC04 0.352807 0.558701 0.216075
12DEC05 0.353877 0.559043 0.213071
12DEC06 0.354299 0.558131 0.212993
12DEC07 0.352873 0.558377 0.210123
12DEC08 0.352239 0.558805 0.211239
12DEC09 0.353921 0.563657 0.214602
12DEC10 0.353629 0.560359 0.218374
12DEC11 0.356193 0.558540 0.215620
12DEC12 0.353405 0.559229 0.211835
12DEC13 0.353598 0.560384 0.216732
12DEC14 0.353961 0.558947 0.216869
12DEC15 0.355384 0.558478 0.214968
12DEC16 0.352165 0.560023 0.218678
12DEC17 0.354211 0.557842 0.210606
12DEC18 0.353813 0.559219 0.216346
12DEC19 0.353817 0.559505 0.212850
12DEC20 0.353643 0.559807 0.205528
12DEC21 0.353007 0.557914 0.211451
12DEC22 0.353738 0.557433 0.207501
12DEC23 0.352981 0.557541 0.206339
12DEC24 0.352500 0.559272 0.209796
12DEC25 0.356122 0.556259 0.216350
12DEC26 0.354610 0.558189 0.213602
12DEC27 0.353373 0.555676 0.211793
12DEC28 0.351728 0.559140 0.213012
12DEC29 0.354219 0.558195 0.214140
12DEC30 0.354650 0.558163 0.212623
12DEC31 0.355830 0.559306 0.209454
13JAN01 0.353176 0.558254 0.219679
13JAN02 0.355274 0.558667 0.217428
13JAN03 0.353106 0.557782 0.214196
13JAN04 0.353142 0.558581 0.209884
13JAN05 0.354417 0.556600 0.208200
13JAN06 0.353257 0.557171 0.215910
13JAN07 0.352499 0.556557 0.210372
13JAN08 0.354708 0.556867 0.216481
13JAN09 0.352476 0.557231 0.209397
13JAN10 0.353701 0.557588 0.220819
13JAN11 0.354597 0.556554 0.222498
